Time(s),Neutron Population
0.0,1000.0
0.5,1010.0
1.0,1020.1
1.5,1030.301
2.0,1040.60401
2.5,1051.0100501
3.0,1061.5201506009998
3.5,1072.1353521070098
4.0,1082.85670562808
4.5,1093.6852726843606
5.0,1104.6221254112043
5.5,1115.6683466653162
6.0,1126.8250301319695
6.5,1138.0932804332892
7.0,1149.474213237622
7.5,1160.9689553699982
8.0,1172.5786449236982
8.5,1184.3044313729351
9.0,1196.1474756866644
9.5,1208.108950443531
10.0,1220.1900399479664
10.5,1232.391940347446
11.0,1244.7158597509206
11.5,1257.16301834843
12.0,1269.7346485319142
12.5,1282.4319950172332
13.0,1295.2563149674056
13.5,1308.2088781170796
14.0,1321.2909668982504
14.5,1334.503876567233
15.0,1347.8489153329053
15.5,1361.3274044862344
16.0,1374.9406785310966
16.5,1388.6900853164077
17.0,1402.5769861695717
17.5,1416.6027560312673
18.0,1430.76878359158
18.5,1445.0764714274958
19.0,1459.5272361417708
19.5,1474.1225085031886
20.0,1488.8637335882204
20.5,1503.7523709241025
21.0,1518.7898946333435
21.5,1533.977793579677
22.0,1549.3175715154737
22.5,1564.8107472306285
23.0,1580.4588547029348
23.5,1596.2634432499642
24.0,1612.226077682464
24.5,1628.3483384592885
