Time(s),Rod Position,Total Reactivity,Neutron Population,Normalized Power,Power (%)
0.5,0.2,0.014,1007.0,1.007,100.69999999999999
1.0,0.2,0.014,1014.049,1.014049,101.4049
1.5,0.2,0.014,1021.147343,1.021147343,102.1147343
2.0,0.2,0.014,1028.295374401,1.028295374401,102.8295374401
2.5,0.2,0.014,1035.493442021807,1.035493442021807,103.54934420218069
3.0,0.2,0.014,1042.7418961159597,1.0427418961159596,104.27418961159596
3.5,0.2,0.014,1050.0410893887713,1.0500410893887713,105.00410893887712
4.0,0.2,0.014,1057.3913770144927,1.0573913770144927,105.73913770144927
4.5,0.2,0.014,1064.793116653594,1.064793116653594,106.4793116653594
5.0,0.2,0.014,1072.2466684701692,1.0722466684701693,107.22466684701692
5.5,0.2,0.014,1079.7523951494604,1.0797523951494605,107.97523951494605
6.0,0.2,0.014,1087.3106619155067,1.0873106619155066,108.73106619155067
6.5,0.2,0.014,1094.9218365489153,1.0949218365489153,109.49218365489153
7.0,0.2,0.014,1102.5862894047577,1.1025862894047578,110.25862894047577
7.5,0.2,0.014,1110.304393430591,1.110304393430591,111.0304393430591
8.0,0.2,0.014,1118.0765241846052,1.1180765241846051,111.8076524184605
8.5,0.2,0.014,1125.9030598538975,1.1259030598538975,112.59030598538975
9.0,0.2,0.014,1133.7843812728747,1.1337843812728747,113.37843812728747
9.5,0.2,0.014,1141.720871941785,1.1417208719417848,114.17208719417849
10.0,0.5,0.005000000000000001,1144.5751741216393,1.1445751741216392,114.45751741216392
10.5,0.5,0.005000000000000001,1147.4366120569434,1.1474366120569435,114.74366120569435
11.0,0.5,0.005000000000000001,1150.3052035870858,1.1503052035870858,115.03052035870857
11.5,0.5,0.005000000000000001,1153.1809665960534,1.1531809665960533,115.31809665960533
12.0,0.5,0.005000000000000001,1156.0639190125435,1.1560639190125435,115.60639190125434
12.5,0.5,0.005000000000000001,1158.9540788100749,1.158954078810075,115.8954078810075
13.0,0.5,0.005000000000000001,1161.8514640071,1.1618514640071,116.18514640071001
13.5,0.5,0.005000000000000001,1164.7560926671179,1.1647560926671179,116.47560926671179
14.0,0.5,0.005000000000000001,1167.6679828987856,1.1676679828987855,116.76679828987855
14.5,0.5,0.005000000000000001,1170.5871528560326,1.1705871528560325,117.05871528560326
15.0,0.5,0.005000000000000001,1173.5136207381727,1.1735136207381727,117.35136207381727
15.5,0.5,0.005000000000000001,1176.447404790018,1.176447404790018,117.6447404790018
16.0,0.5,0.005000000000000001,1179.388523301993,1.179388523301993,117.9388523301993
16.5,0.5,0.005000000000000001,1182.336994610248,1.182336994610248,118.2336994610248
17.0,0.5,0.005000000000000001,1185.2928370967736,1.1852928370967737,118.52928370967737
17.5,0.5,0.005000000000000001,1188.2560691895155,1.1882560691895154,118.82560691895154
18.0,0.5,0.005000000000000001,1191.2267093624894,1.1912267093624893,119.12267093624894
18.5,0.5,0.005000000000000001,1194.2047761358956,1.1942047761358956,119.42047761358955
19.0,0.5,0.005000000000000001,1197.1902880762354,1.1971902880762355,119.71902880762354
19.5,0.5,0.005000000000000001,1200.183263796426,1.200183263796426,120.0183263796426
20.0,0.8,-0.004,1197.782897268833,1.1977828972688331,119.77828972688332
20.5,0.8,-0.004,1195.3873314742955,1.1953873314742955,119.53873314742955
21.0,0.8,-0.004,1192.9965568113469,1.1929965568113468,119.29965568113468
21.5,0.8,-0.004,1190.6105636977243,1.1906105636977242,119.06105636977242
22.0,0.8,-0.004,1188.2293425703288,1.1882293425703288,118.82293425703287
22.5,0.8,-0.004,1185.852883885188,1.185852883885188,118.5852883885188
23.0,0.8,-0.004,1183.4811781174176,1.1834811781174175,118.34811781174174
23.5,0.8,-0.004,1181.1142157611828,1.1811142157611827,118.11142157611827
24.0,0.8,-0.004,1178.7519873296603,1.1787519873296604,117.87519873296604
24.5,0.8,-0.004,1176.394483355001,1.176394483355001,117.6394483355001
