Time(s),Reactivity,Neutron Population
0.5,0.0,1000.0
1.0,0.0,1000.0
1.5,0.0,1000.0
2.0,0.0,1000.0
2.5,0.0,1000.0
3.0,0.0,1000.0
3.5,0.0,1000.0
4.0,0.0,1000.0
4.5,0.0,1000.0
5.0,0.0,1000.0
5.5,0.0,1000.0
6.0,0.0,1000.0
6.5,0.0,1000.0
7.0,0.0,1000.0
7.5,0.0,1000.0
8.0,0.0,1000.0
8.5,0.0,1000.0
9.0,0.0,1000.0
9.5,0.0,1000.0
10.0,0.02,1020.0
10.5,0.02,1040.4
11.0,0.02,1061.208
11.5,0.02,1082.43216
12.0,0.02,1104.0808032
12.5,0.02,1126.162419264
13.0,0.02,1148.6856676492798
13.5,0.02,1171.6593810022655
14.0,0.02,1195.0925686223109
14.5,0.02,1218.994419994757
15.0,0.02,1243.3743083946522
15.5,0.02,1268.2417945625452
16.0,0.02,1293.6066304537962
16.5,0.02,1319.478763062872
17.0,0.02,1345.8683383241296
17.5,0.02,1372.7857050906123
18.0,0.02,1400.2414191924245
18.5,0.02,1428.246247576273
19.0,0.02,1456.8111725277984
19.5,0.02,1485.9473959783543
20.0,0.02,1515.6663438979213
20.5,0.02,1545.9796707758796
21.0,0.02,1576.8992641913972
21.5,0.02,1608.4372494752251
22.0,0.02,1640.6059944647297
22.5,0.02,1673.4181143540243
23.0,0.02,1706.8864766411048
23.5,0.02,1741.0242061739268
24.0,0.02,1775.8446902974054
24.5,0.02,1811.3615841033534
