Time(s),Neutron Population
0.0,1000.0
0.5,1020.0
1.0,1040.4
1.5,1061.208
2.0,1082.43216
2.5,1104.0808032
3.0,1126.162419264
3.5,1148.6856676492798
4.0,1171.6593810022655
4.5,1195.0925686223109
5.0,1218.994419994757
5.5,1243.3743083946522
6.0,1268.2417945625452
6.5,1293.6066304537962
7.0,1319.478763062872
7.5,1345.8683383241296
8.0,1372.7857050906123
8.5,1400.2414191924245
9.0,1428.246247576273
9.5,1456.8111725277984
10.0,1485.9473959783543
10.5,1515.6663438979213
11.0,1545.9796707758796
11.5,1576.8992641913972
12.0,1608.4372494752251
12.5,1640.6059944647297
13.0,1673.4181143540243
13.5,1706.8864766411048
14.0,1741.0242061739268
14.5,1775.8446902974054
15.0,1811.3615841033534
15.5,1847.5888157854204
16.0,1884.5405921011288
16.5,1922.2314039431515
17.0,1960.6760320220144
17.5,1999.8895526624547
18.0,2039.8873437157038
18.5,2080.685090590018
19.0,2122.298792401818
19.5,2164.744768249854
20.0,2208.039663614851
20.5,2252.200456887148
21.0,2297.244466024891
21.5,2343.189355345389
22.0,2390.0531424522965
22.5,2437.8542053013425
23.0,2486.6112894073694
23.5,2536.343515195517
24.0,2587.070385499427
24.5,2638.8117932094156
